Time (days),Strength of Memory,Learning Method,Material Complexity,Information Relevance,Presentation Type,Sleep Quality,Stress Level,Memory Retention (%)
3.8214614692179913,3.894270498658472,Doing,High,Medium,Textual,Good,Low,39.8975908773748
5.671337070632031,0.5922991369417603,Listening,Low,Low,Visual,Poor,Low,5.781313920700852
6.283029969472104,1.6221910459815143,Doing,Low,Medium,Visual,Average,Low,4.180829241167983
2.294223977305861,4.508000041513582,Doing,High,Low,Visual,Good,Moderate,61.41539044234269
0.8593582792409696,3.7333909315501073,Doing,Medium,High,Visual,Poor,Moderate,94.80529385179008
1.6727526215393975,0.8283574981655948,Watching,Medium,Low,Visual,Good,High,13.313333126953935
3.047043741521169,4.195067470183309,Watching,Low,High,Auditory,Average,High,61.747748971491504
5.7443018848652025,2.7186580469309214,Doing,High,High,Textual,Average,High,15.251643757715293
6.039041024468769,4.310523622259732,Doing,Medium,Medium,Textual,Good,Moderate,34.00397456687902
0.1479697006652158,3.2033289850267703,Watching,High,High,Textual,Poor,High,100.0
3.624156387785204,3.5682486441478645,Watching,High,High,Textual,Poor,Low,33.68618060840436
2.9801359217265757,4.970757021780687,Doing,Low,High,Textual,Good,Moderate,72.27842946245266
1.6325438922480389,1.5455099566580817,Doing,High,Medium,Visual,Average,Moderate,41.82176939952117
0.9270710346024114,3.307755086426248,Listening,High,High,Textual,Poor,High,79.10327163912396
2.4295446826850333,2.5714462552582926,Doing,Low,Medium,Textual,Good,Low,44.48481949383692
6.606076956996382,0.6775337881521115,Doing,Medium,Low,Visual,Good,Low,16.46389766115384
2.3301002309432115,0.5651178867628927,Listening,High,Medium,Textual,Average,Moderate,4.1360424081652205
3.6796552900292254,1.036528600180364,Listening,Low,Medium,Visual,Average,Moderate,14.35892233188066
4.950830816376727,3.4209128324234666,Doing,Medium,High,Visual,Poor,High,38.41757085399874
2.609044256417129,3.052233895610265,Listening,High,Medium,Auditory,Poor,Low,47.72206364068794
6.805296370774629,2.990433025236773,Watching,Medium,Low,Textual,Poor,Moderate,11.997022511119756
6.740886335100568,0.6433554313771703,Watching,Low,Medium,Textual,Average,Low,2.4220863058134943
1.837297841195013,2.611863483620032,Listening,High,High,Textual,Good,Moderate,54.40444913040277
3.53101469065746,4.660802680291378,Watching,Low,Low,Visual,Poor,High,49.010248478522165
2.176060337735711,2.28916341189791,Watching,Low,High,Auditory,Poor,Moderate,41.38981943348959
2.065399411204526,3.3121511140480537,Doing,High,High,Textual,Poor,Moderate,58.09858359563184
0.3545199367462763,4.009184040304146,Watching,Low,Medium,Visual,Good,Moderate,92.75418484703104
4.305993904461288,4.027663756138495,Doing,Medium,High,Visual,Poor,High,40.34963385059689
3.5684852602791444,2.836760370778721,Doing,Low,Low,Visual,Poor,High,32.37264415097055
0.4552033836249265,4.360783754310513,Listening,High,Low,Visual,Average,High,95.08986377733792
2.022660603232619,2.261201420136861,Watching,High,Low,Auditory,Average,Moderate,48.49333336200824
6.367034613169911,4.499119466531592,Doing,Medium,Low,Auditory,Average,Moderate,37.354613158314585
1.75297704560211,1.581022248779954,Watching,High,Medium,Visual,Good,Low,37.43282067389386
1.0997746174294394,1.7609738314575698,Listening,Low,Low,Textual,Average,High,51.48337230564837
3.477224045915185,0.739042808895505,Watching,Low,Medium,Auditory,Poor,High,0.0
6.900988133363144,4.080118264440273,Doing,High,High,Textual,Poor,Moderate,35.69275386197029
1.770181373429353,2.376748563047175,Doing,Medium,High,Textual,Good,High,60.40878980279958
4.737735277100562,1.5310247626012956,Listening,Medium,Medium,Auditory,Good,Low,0.0
5.355175345768151,1.5430562492746085,Listening,High,High,Textual,Poor,High,6.460205522091595
1.7396990535475578,4.5562997355315495,Watching,Low,High,Auditory,Good,High,70.60202663348116
5.124692805421831,4.252624702074666,Listening,High,Low,Auditory,Poor,High,20.484779074443537
2.6377036157628475,2.990888984107325,Watching,High,High,Textual,Average,Low,51.68506766552479
4.462910231095698,3.272498601870745,Watching,Medium,High,Textual,Poor,Low,27.94632463735097
4.4713550042501735,2.634465067476309,Listening,Low,Medium,Visual,Good,High,20.403487667299554
3.7968453201158336,2.26249944295464,Listening,Medium,Low,Auditory,Average,Low,13.387790018800196
0.7229994133754173,4.619645965482492,Listening,Medium,High,Textual,Poor,Moderate,80.74700485695851
5.863587219565742,1.0652571658413592,Doing,Low,High,Auditory,Good,High,0.0
2.3133824483049774,2.3830105537230257,Doing,Low,Medium,Visual,Good,Low,51.46357222565333
1.3869777217589945,2.0505285859454387,Watching,Low,High,Visual,Average,Low,44.62776219663343
0.3813484767278711,2.741678241130168,Doing,High,Low,Visual,Poor,Low,100.0
4.177161307998868,2.559343435453288,Watching,Low,Low,Visual,Poor,Moderate,21.11760202235994
4.775194096711749,2.8350028924298663,Doing,High,Low,Visual,Good,Low,21.41673180993027
0.2144560196022074,1.1296353975214737,Watching,Medium,Medium,Visual,Average,Moderate,84.43184219345132
3.633442102265039,2.809136756809747,Watching,Low,Low,Visual,Poor,Moderate,26.011576615240926
1.662820848865772,1.5908846624924489,Listening,High,Low,Visual,Average,Low,36.64800322674367
4.551692253825204,1.3294910704468608,Doing,High,Low,Auditory,Good,Moderate,7.873591244864841
1.303128360134441,0.7917539845378605,Listening,High,Low,Textual,Poor,Low,18.71695472162313
4.867470392907015,3.931936514402634,Listening,High,Low,Auditory,Good,Low,31.70635985002677
2.768473889473708,2.42348864385452,Watching,Medium,Low,Auditory,Poor,Low,38.21294001535309
6.5634369222834685,3.319896574902913,Watching,Low,Medium,Textual,Good,High,22.91151583897693
1.0488945146073536,3.774170044871345,Listening,Low,Low,Textual,Poor,Moderate,83.47479488821638
2.453357822246784,3.556924993910991,Doing,Low,High,Visual,Average,Moderate,64.43832495731328
0.8829672965600646,2.6172532359035703,Doing,Low,Medium,Textual,Poor,Low,81.68079253651543
6.480385966122083,2.2455433802827844,Watching,Low,High,Auditory,Poor,Moderate,8.474520170005036
6.153641538328769,2.191819593382987,Watching,Low,High,Visual,Good,Low,7.435503218722555
1.8797972312345737,3.380219586185253,Doing,High,Low,Auditory,Poor,Moderate,62.76190314903127
4.653889917635835,2.7265745972384305,Doing,Low,High,Textual,Poor,Moderate,23.57319003828625
5.738833181388389,4.321095115948298,Doing,High,High,Auditory,Poor,Low,36.23370998622565
3.9308856000362895,4.436158929470205,Doing,Medium,High,Auditory,Good,Low,55.3155296202014
3.754588990656445,1.2675217010293331,Watching,High,Low,Visual,Poor,Low,10.022583035234936
1.7687808072131168,1.1130514319557654,Watching,Medium,Low,Visual,Average,Moderate,25.233449179545463
0.7424090978607045,3.336804167161998,Doing,Low,Low,Auditory,Average,High,81.0214356517569
6.290788729877955,1.855515866280257,Watching,Medium,Medium,Textual,Good,High,12.483955438613016
6.31288459442698,0.5835682344429449,Listening,Medium,Low,Visual,Poor,Moderate,4.50596680208727
4.4684000551855485,4.4988920121332985,Watching,High,Low,Auditory,Good,Moderate,39.91681026880013
2.439305558236035,1.521053452597137,Listening,High,High,Visual,Poor,Low,23.875266458090405
2.50954606482736,4.681762932586141,Listening,Medium,Low,Visual,Good,Low,59.2258415705203
5.109094184204651,3.728455028952141,Listening,Medium,High,Textual,Poor,Low,27.19014521569972
6.290060793672782,3.931940704601679,Listening,Low,Low,Auditory,Poor,Moderate,22.37632660409104
6.220896327429309,1.406576731069222,Listening,High,Low,Auditory,Good,Low,7.193327084131489
5.4811412664176045,1.553874915275658,Doing,Medium,Low,Auditory,Good,Low,9.353738013602923
4.530018358464585,2.845704892208296,Watching,High,Low,Auditory,Good,Moderate,22.0482043097642
0.680565758465837,1.2744493369243797,Watching,Low,Low,Auditory,Poor,High,61.4748952648335
1.2152381272528352,1.8744426170736448,Watching,Low,Low,Visual,Good,Low,56.20843966047092
6.300023900836846,1.94658115076512,Doing,Medium,Low,Visual,Poor,High,7.755055740360042
4.284360511651171,1.2183346996374385,Watching,Low,High,Visual,Average,Low,2.1018976906700164
0.1634596561547445,1.4233227502782233,Doing,Medium,Medium,Visual,Average,Low,97.51193204052808
0.8001536457756215,4.048483289037154,Watching,High,Medium,Textual,Poor,Low,92.8017287768528
4.678162206845585,1.2523813454627075,Listening,High,Low,Textual,Poor,Moderate,2.9259529831096
0.1349249285389089,0.6280582632976512,Watching,Medium,Medium,Auditory,Good,Moderate,85.10566272373256
1.209575554780741,3.332097241830223,Doing,Medium,High,Textual,Poor,Low,78.71610142960431
3.8862631466294446,4.891924037266024,Watching,Medium,High,Visual,Poor,Low,45.646498017171325
4.874076864079584,1.9904621658040464,Watching,High,High,Visual,Average,Moderate,10.51945600150372
4.598532690567944,1.033950664383135,Watching,High,Medium,Visual,Good,Moderate,7.017466021857974
1.6474582352778626,3.0667429641538884,Listening,Low,Medium,Visual,Good,High,59.17081161918144
5.0140366272979975,4.578593949930408,Watching,Low,Medium,Visual,Poor,Moderate,39.145808444779895
1.7370187037279206,4.0282780092281545,Doing,High,Low,Auditory,Good,Low,72.79862149038257
2.345257917298948,3.301321407857222,Listening,High,High,Auditory,Average,Moderate,45.17736927984486
5.250790695314366,1.9177542347341967,Watching,Medium,High,Visual,Average,High,13.670481289468942
4.582467003425781,2.93846077974299,Watching,High,Low,Auditory,Average,High,20.78988396744925
5.959641532409828,0.9106017858691492,Watching,High,Medium,Textual,Poor,Low,13.990815072822627
4.637528956872369,3.5552544092630147,Listening,Low,High,Textual,Poor,Moderate,34.85663816699228
4.021329363014754,3.762932085039429,Doing,Low,Medium,Visual,Average,High,47.8759590031812
0.7463558980138381,4.842642303094634,Listening,Medium,Low,Auditory,Average,High,85.7170627667924
2.6372390411100914,1.6717881143528224,Doing,Low,Medium,Visual,Good,High,25.983263006067062
1.9298963370039055,0.5830538856936018,Doing,Medium,Low,Auditory,Good,Low,15.367831129936322
1.7835285393156768,2.9552380899221777,Watching,High,Medium,Visual,Good,High,53.88356045341593
6.813772827791874,3.680557269785665,Doing,High,Low,Visual,Good,Moderate,31.13115597866668
2.812374300200647,4.056833641473446,Watching,Medium,High,Visual,Average,Low,54.88874379507797
6.255121230722081,1.3718251986116476,Watching,Low,Low,Textual,Good,Moderate,10.36882483292322
4.454856519381114,1.6778879106666065,Doing,Low,Medium,Auditory,Average,Moderate,11.147256248833507
5.584197994437374,2.8066591637028333,Listening,High,High,Auditory,Average,High,19.457230052455326
3.568195942425826,1.9877036448650085,Doing,Low,Medium,Textual,Poor,Low,21.89677050294641
4.080636803921878,4.372301689643503,Doing,Medium,Medium,Textual,Good,Low,33.843549240495484
3.498372087350161,2.631920691824241,Doing,High,Low,Auditory,Average,Moderate,39.94824391683844
1.4471766158065071,4.098103898459014,Listening,Low,Low,Auditory,Poor,Low,76.71635071244397
5.084919595304386,3.112788922170592,Listening,High,Medium,Visual,Poor,Low,30.8354501652192
2.037329300841905,3.978905637277004,Doing,High,Low,Visual,Average,Low,69.3876915413974
0.2677801683770315,1.9970284393864568,Doing,Low,Medium,Auditory,Average,Low,96.55857179754162
4.553758841759458,4.2413747986864,Listening,Medium,Low,Auditory,Good,High,48.1643444800408
1.3220636879086378,1.7355754199795972,Watching,Low,Low,Visual,Good,Moderate,49.27663329969474
6.589164232035109,2.957444636014809,Doing,Low,Medium,Textual,Average,Moderate,17.396950716737642
6.6821071813178525,1.463032009282434,Listening,Low,High,Auditory,Average,Low,1.5967200508376975
6.412564292521095,2.63986934731787,Watching,Low,Low,Auditory,Poor,Low,16.099610442684572
2.6540950317625667,1.931788442789164,Watching,Low,Medium,Textual,Poor,Moderate,13.08837894463997
0.2066506540491852,1.7001654378674642,Doing,Low,High,Textual,Poor,Moderate,100.0
6.505398081855305,4.8514325811261685,Doing,Medium,Low,Textual,Poor,High,41.95492935491774
3.054470623389469,1.220333474690288,Watching,High,Low,Auditory,Poor,Low,9.93912870326669
6.76991825140132,4.042966268558279,Listening,Medium,Medium,Auditory,Good,Moderate,17.636530740197895
6.748977841915845,4.928742317674467,Listening,Low,Low,Auditory,Poor,High,33.86706421432067
5.985765242724784,0.5895566768303502,Doing,Medium,Medium,Visual,Average,High,17.721632882039636
2.1316973552801413,3.645623363189428,Listening,High,Medium,Textual,Good,Low,59.07172657254793
2.7571743273532845,1.638103125003292,Watching,Medium,Low,Textual,Poor,High,26.1506384703938
5.9728430334663125,0.68219520947737,Listening,Low,High,Visual,Poor,High,0.0
2.286761835578316,2.3130031053048388,Listening,High,Low,Visual,Poor,High,38.36020178168037
1.2694999521340382,4.708480145768938,Listening,Low,High,Visual,Average,High,82.98400881955953
3.941928710962616,0.5529429246514896,Listening,Low,Low,Visual,Poor,High,1.2880360566131297
6.559467941709388,3.1454856136840177,Listening,High,High,Textual,Average,Low,9.26575908839214
4.902605597057313,2.7562841536789597,Doing,High,Low,Visual,Average,Low,22.251815498724746
4.033422073616618,4.4302287396697135,Doing,Low,High,Visual,Poor,Low,55.02934286081255
0.7705178070183029,0.8780077153428154,Listening,Medium,High,Textual,Poor,Low,41.288641380842286
4.343549864224271,3.5668671344899265,Listening,High,Low,Textual,Good,Moderate,18.31041108317501
6.931371565719417,3.560493642949748,Watching,Medium,Low,Textual,Good,Low,28.779676097163694
1.0665797051320158,3.5108600758802746,Listening,Medium,Medium,Textual,Good,Low,75.84371166140201
3.676474601309784,4.740505227207667,Listening,High,High,Auditory,Average,Low,44.6939452082027
6.153874196302892,4.203893880530962,Watching,Medium,Low,Auditory,Poor,High,30.445636232643384
5.21130346250401,0.6888772680957771,Listening,High,Medium,Auditory,Good,High,0.0
4.909408612867349,2.619872828170309,Watching,High,Low,Auditory,Average,High,7.502402700976354
4.947140179511054,2.2907887529060007,Watching,High,High,Textual,Good,Low,14.625191454285453
2.5804889434163107,1.8956624949086092,Listening,High,Low,Auditory,Good,Moderate,30.61797747885761
2.1257837254250043,2.5310152631934377,Listening,Medium,Low,Visual,Poor,Moderate,41.83008951026694
5.684591972801744,2.2288738321668986,Listening,Medium,Medium,Visual,Poor,Low,8.190572237307723
5.689782423286347,2.4455025494539937,Watching,High,Low,Visual,Average,Moderate,5.863426195084863
6.082798998202716,4.906678395238891,Doing,High,Medium,Auditory,Poor,Moderate,32.969846939867494
6.401359812639652,0.8988483863731134,Doing,High,High,Auditory,Good,Low,7.472349994245009
3.628262552140471,4.650038914274284,Listening,High,High,Visual,Average,High,50.071516730172846
3.560462433341677,2.66106521061962,Listening,Low,Low,Auditory,Average,Moderate,27.72628428634537
5.608236734870749,3.306840104747935,Watching,Medium,Medium,Textual,Average,High,29.94272876909837
4.58475112236658,4.235823349779622,Watching,Medium,High,Auditory,Average,Low,48.64703461349734
4.943571453078153,2.12208363117165,Watching,High,Low,Visual,Poor,High,20.666486752092084
5.590969419109097,2.436898586395851,Listening,Low,Low,Visual,Good,Moderate,3.133406879765744
6.241036858541207,2.342833161254213,Doing,Low,Low,Auditory,Poor,High,14.548813569451925
2.432166582275597,2.186289601410919,Doing,Low,Low,Auditory,Poor,High,46.25979945894035
2.691522373215614,4.664881947411027,Listening,High,Low,Visual,Average,High,56.5617121923052
0.7484753849019962,4.230184510368554,Listening,Low,Medium,Visual,Poor,Low,76.68656757174749
4.090132972873601,0.9904999543833924,Watching,High,Low,Auditory,Poor,Low,0.849419528798506
0.3480016891975204,0.986555086146932,Watching,Low,Low,Auditory,Good,Low,60.91342752615053
3.312626325113975,2.425412816838461,Doing,High,Low,Visual,Average,Low,33.13019349653468
3.844247979482279,0.9439581952976408,Doing,High,Low,Visual,Poor,High,4.778907751723209
2.0771346396851627,3.2859189287200383,Doing,Medium,Low,Visual,Average,Moderate,60.34252068987245
4.176749497926174,1.1466122326778023,Watching,High,Low,Visual,Good,High,10.52556566277624
0.310451724579441,2.850679687850605,Doing,Low,Low,Visual,Poor,High,92.02460297446486
0.3577025023695794,0.5324897615167299,Watching,Medium,High,Visual,Good,High,49.49006762194385
5.775943868551642,1.9246835678569103,Watching,Low,High,Visual,Good,Moderate,1.264999931292726
2.585315425737714,3.547358256526949,Listening,High,Low,Auditory,Average,Moderate,60.10543328992593
0.976717537298005,2.678175231025318,Listening,Medium,Medium,Textual,Average,Moderate,81.59701648815303
3.7034784943781514,4.902212686995447,Watching,High,Low,Textual,Average,High,50.77931535201447
5.412955516380415,4.433467082297948,Listening,High,Medium,Auditory,Poor,Low,32.03700408777732
1.589165089728218,2.1158185056941807,Listening,Low,Medium,Textual,Average,Low,47.6836164562828
4.3979442831511015,0.7046894366252356,Watching,Low,Medium,Auditory,Poor,High,3.190741815277582
0.6888975084569992,4.3053183505175845,Listening,Low,Medium,Auditory,Good,Low,80.60390503552753
0.4566038760633931,4.600554396416022,Listening,Medium,Medium,Auditory,Average,Low,91.7576224273
3.766346957820221,4.192823270385666,Doing,Low,High,Auditory,Good,High,48.01004198243385
3.830382339109735,1.075774734138942,Doing,High,Low,Textual,Average,High,8.871398194604112
