time_days,strength_of_memory,learning_method,material_complexity,information_relevance,presentation_type,sleep_quality,stress_level,memory_retention_%
4.18766052514809,3.44255515866166,Doing,Medium,Low,Auditory,Good,Low,38.3588797456786
0.420507847767984,3.52505367410272,Listening + Watching,Medium,Low,Textual,Good,Moderate,96.5939429419119
4.29205947811992,0.524026138863599,Listening,Medium,Medium,Visual,Average,High,4.04993297317725
1.27661645344231,4.93192204751121,Listening + Watching,Medium,Medium,Visual,Poor,Moderate,85.0228264245601
0.548855991598429,4.45024671609117,Doing,Low,Low,Auditory,Poor,Moderate,93.1479581682519
6.647310207048,4.52797801578541,Listening + Watching,Low,High,Visual,Average,High,32.1437064392527
6.76286102821446,3.46660041672892,Listening + Watching,High,Low,Visual,Good,Moderate,24.8161439008915
5.67794170200358,2.05154117894541,Watching,Low,Medium,Textual,Average,Moderate,10.0821076524299
2.20183500729626,4.52141892090716,Watching,Medium,High,Visual,Average,High,66.6097499267247
0.773937586644049,1.81182617668037,Listening,Medium,High,Textual,Poor,Low,69.8637132064491
4.82120788293388,3.03220194503991,Listening + Watching,Medium,High,Textual,Average,High,24.9122012383398
3.13705220680325,0.948789375547471,Listening,High,Medium,Visual,Good,High,2.49709695688063
0.942063820428974,4.64880033559738,Doing,Low,High,Visual,Average,High,100
3.51672067976776,1.13346705997046,Listening,Low,Medium,Auditory,Average,Low,12.1219202844369
0.337280795695007,1.51203562578683,Listening + Watching,Low,Medium,Auditory,Average,High,86.2653306436834
6.3743107743436,3.01160371157697,Watching,Medium,Low,Visual,Good,Low,17.4583863696547
1.88558187304012,3.93841850095842,Watching,Medium,Medium,Textual,Average,Moderate,59.2663042823973
4.67140376204248,3.28708087671335,Listening,Medium,High,Textual,Poor,High,22.1494435982232
2.25080642501694,1.5446026076007,Watching,High,Medium,Auditory,Average,Moderate,19.0540230242137
3.6884693461269,0.504243691373707,Listening + Watching,High,Medium,Textual,Average,Moderate,7.99486470809131
3.87230092746863,3.90717761138348,Listening + Watching,Medium,Low,Auditory,Poor,Low,45.1046205863594
1.37549574312614,4.93343296659992,Doing,High,Low,Textual,Poor,Moderate,90.0874152164497
6.79013393157545,4.14460904137741,Watching,High,Medium,Visual,Poor,Moderate,20.3707410430114
5.44841648119169,2.57092978170477,Watching,High,Medium,Visual,Poor,High,19.3452317542469
6.58254269679291,4.56695267629598,Doing,Low,Medium,Textual,Poor,Moderate,35.9255578073626
6.27430871795078,2.34431452903258,Listening,High,Low,Auditory,Poor,High,20.1772417704023
4.22550985379649,2.8622033790956,Doing,Medium,Low,Visual,Good,Moderate,40.1834193022347
6.46093222165951,2.64708395328057,Watching,Low,High,Auditory,Average,Low,18.170129972863
0.710598264158245,2.51430742699486,Listening,High,High,Visual,Good,Moderate,80.5588901791171
1.4522817506921,3.98835846182258,Listening + Watching,Medium,High,Textual,Good,Low,71.508945874939
0.412068293482713,2.87046008271271,Listening + Watching,High,High,Visual,Poor,High,94.591303691244
2.34477928226652,1.92522704911347,Doing,Medium,Low,Textual,Average,High,49.8221607982254
2.78187329885743,1.66171175446315,Listening + Watching,Medium,Low,Auditory,Good,Moderate,27.7824383559446
1.97230831923988,0.66986292635345,Watching,High,Medium,Visual,Average,Moderate,3.15475374485709
5.81828881314831,3.12437822847371,Doing,High,High,Auditory,Average,High,26.2125437044897
2.56159795418577,1.53482636930465,Watching,Low,Medium,Auditory,Poor,High,15.8958511511716
2.03844811684293,1.16660264907372,Watching,High,Medium,Textual,Average,High,15.1427588759864
3.84460297379191,3.44223483722455,Listening,Medium,Low,Auditory,Good,Low,35.7940562881847
1.07237715232586,3.56544166019697,Listening,Low,Medium,Visual,Good,Moderate,78.7225459205728
5.63515916720287,3.8846970151595,Listening,Medium,Medium,Textual,Poor,High,20.453242287855
0.614399441390419,2.76609603352366,Listening + Watching,Medium,Low,Textual,Good,High,83.784311879254
6.90951986254357,4.52324572341749,Listening,High,Low,Textual,Poor,Moderate,15.5746354774852
5.42848890814694,4.71354239029203,Watching,Medium,Low,Auditory,Good,Moderate,32.9640806552111
1.47113820258579,4.1331692290662,Doing,High,Low,Visual,Good,Low,69.3217021564254
0.138102608152857,3.36017066903684,Doing,Medium,High,Visual,Poor,High,100
5.72668385633836,1.86674429116035,Watching,Low,High,Visual,Average,Moderate,7.05050930506731
4.97731567254856,4.923252147291,Listening + Watching,High,High,Textual,Poor,Low,34.1072291156904
5.13014945948281,1.73361275236372,Doing,Low,Medium,Textual,Average,High,9.14962186129002
5.42176539213303,1.41195614895694,Watching,High,High,Visual,Average,Low,3.84912434194439
0.610908096965224,2.48969351203962,Watching,Low,Low,Auditory,Poor,Moderate,79.2582370676347
2.57341352695548,0.755782568205748,Watching,High,High,Textual,Poor,Low,4.56898212635632
0.899496510723395,4.90322509102306,Doing,Low,Low,Visual,Poor,High,93.6794161627715
6.0554136385416,3.14795100387391,Doing,Low,High,Auditory,Average,Moderate,15.2495280138335
4.40075707511015,3.00628441248879,Listening,High,High,Textual,Average,High,27.6776299629278
2.38319637148328,3.45108325954874,Listening,High,Low,Textual,Average,Low,49.535652395165
0.538552616973563,2.73660641499743,Watching,Medium,Low,Textual,Average,Low,81.1548481987281
2.24577801983807,0.644285826925437,Watching,Medium,Medium,Visual,Poor,Low,0
2.34376492198455,3.25540079978179,Watching,High,Medium,Textual,Poor,Moderate,49.3391886807242
5.13428263053264,3.72278244630394,Watching,High,Medium,Textual,Average,Low,29.7393510258432
4.49914655235097,2.37537077280824,Doing,Low,High,Auditory,Good,Moderate,24.7535027288227
6.22176792377665,3.90783007432037,Listening,Low,High,Visual,Poor,Low,22.2032645334799
3.35828298361745,1.52150584702289,Listening + Watching,Medium,Low,Auditory,Good,Low,15.8054952922897
0.925200296974282,1.49574465979783,Watching,Medium,Low,Textual,Good,Moderate,55.5694917895786
5.02138903183867,1.22637644459408,Listening,Medium,Medium,Visual,Good,Moderate,0
5.34941683545659,2.17397641905123,Watching,Low,Low,Visual,Average,Moderate,10.5140279777165
3.97281266322953,4.31155415925088,Doing,Low,High,Textual,Poor,High,46.339289211719
5.41967354168647,4.22560427967079,Listening + Watching,Low,Low,Visual,Good,Low,28.608105966894
3.5071896149143,2.22270893583577,Listening,Medium,Low,Visual,Average,High,25.4146181050289
3.70685652273576,3.15103431191106,Listening,High,Low,Auditory,Poor,Low,23.9638911898466
3.05003302667399,3.74367342413712,Listening + Watching,Medium,Low,Visual,Average,Low,53.3979052147487
0.275391974534257,1.5854304858261,Doing,Low,Low,Visual,Poor,Low,95.9905000664248
0.844450846253801,1.25663488652636,Listening + Watching,Medium,Medium,Auditory,Poor,Low,54.9327410709037
0.316861381238466,4.8744319694554,Listening,Medium,Medium,Textual,Average,High,99.8583431754735
4.49123183772008,3.27900790944328,Listening + Watching,Medium,High,Auditory,Good,Low,29.1768158371439
2.26905626942665,4.91637074825149,Doing,Medium,Medium,Textual,Poor,High,68.9760247415506
3.60913776903645,2.01990194209503,Doing,Low,Low,Textual,Poor,Moderate,19.7479444960044
6.36220867009004,3.66364264988359,Watching,Medium,Medium,Textual,Good,High,19.5699529977595
1.82011638112724,1.50171636443557,Listening + Watching,Low,High,Auditory,Poor,Low,31.466143029419
2.93164216894585,1.67540077073261,Listening + Watching,Medium,Medium,Textual,Good,High,19.9223702651949
5.31330285594704,2.80355954571331,Listening,Low,High,Auditory,Poor,High,15.7019735257833
1.6787073418922,1.93828156478632,Doing,High,High,Auditory,Good,Moderate,50.9421596918694
0.631161377818672,1.25429703728263,Listening + Watching,Low,High,Textual,Poor,Moderate,73.2389974960278
2.099285025105,1.68296315895197,Listening,Low,Low,Textual,Poor,Moderate,34.3809698000535
1.21242688205263,0.660867775096391,Watching,High,High,Auditory,Poor,Low,20.7227247002833
6.51491380116375,3.66990629664869,Listening + Watching,High,Medium,Auditory,Good,High,22.7117636204988
5.67603061899448,2.71452495688638,Listening + Watching,High,Medium,Textual,Poor,High,16.8364582102277
4.47048591992192,0.924093798820365,Listening,High,Medium,Textual,Average,Moderate,1.65956577716645
6.11307807229525,1.27262296907821,Listening,High,High,Textual,Average,Low,0
5.64533733060389,0.961405421506898,Doing,High,High,Auditory,Average,Low,5.77708264511664
1.38733340631365,3.25666763724144,Doing,Medium,Low,Auditory,Poor,Low,73.9178090016815
6.25865708958085,0.923946636256222,Doing,Medium,High,Auditory,Good,Moderate,4.72241281187059
3.82146146921799,3.89427049865847,Listening + Watching,High,Medium,Textual,Good,Low,39.8975908773748
5.67133707063203,0.59229913694176,Listening,Low,Low,Visual,Poor,Low,5.78131392070085
6.2830299694721,1.62219104598151,Doing,Low,Medium,Visual,Average,Low,4.18082924116798
2.29422397730586,4.50800004151358,Listening + Watching,High,Low,Visual,Good,Moderate,61.4153904423427
0.85935827924097,3.73339093155011,Doing,Medium,High,Visual,Poor,Moderate,94.8052938517901
1.6727526215394,0.828357498165595,Watching,Medium,Low,Visual,Good,High,13.3133331269539
3.04704374152117,4.19506747018331,Listening + Watching,Low,High,Auditory,Average,High,61.7477489714915
5.7443018848652,2.71865804693092,Doing,High,High,Textual,Average,High,15.2516437577153
6.03904102446877,4.31052362225973,Doing,Medium,Medium,Textual,Good,Moderate,34.003974566879
0.147969700665216,3.20332898502677,Watching,High,High,Textual,Poor,High,100
3.6241563877852,3.56824864414786,Watching,High,High,Textual,Poor,Low,33.6861806084044
2.98013592172658,4.97075702178069,Doing,Low,High,Textual,Good,Moderate,72.2784294624527
1.63254389224804,1.54550995665808,Doing,High,Medium,Visual,Average,Moderate,41.8217693995212
0.927071034602411,3.30775508642625,Listening,High,High,Textual,Poor,High,79.103271639124
2.42954468268503,2.57144625525829,Doing,Low,Medium,Textual,Good,Low,44.4848194938369
6.60607695699638,0.677533788152112,Doing,Medium,Low,Visual,Good,Low,16.4638976611538
2.33010023094321,0.565117886762893,Listening,High,Medium,Textual,Average,Moderate,4.13604240816522
3.67965529002923,1.03652860018036,Listening,Low,Medium,Visual,Average,Moderate,14.3589223318807
4.95083081637673,3.42091283242347,Doing,Medium,High,Visual,Poor,High,38.4175708539987
2.60904425641713,3.05223389561027,Listening,High,Medium,Auditory,Poor,Low,47.7220636406879
6.80529637077463,2.99043302523677,Listening + Watching,Medium,Low,Textual,Poor,Moderate,11.9970225111198
6.74088633510057,0.64335543137717,Watching,Low,Medium,Textual,Average,Low,2.42208630581349
1.83729784119501,2.61186348362003,Listening + Watching,High,High,Textual,Good,Moderate,54.4044491304028
3.53101469065746,4.66080268029138,Watching,Low,Low,Visual,Poor,High,49.0102484785222
2.17606033773571,2.28916341189791,Watching,Low,High,Auditory,Poor,Moderate,41.3898194334896
2.06539941120453,3.31215111404805,Doing,High,High,Textual,Poor,Moderate,58.0985835956318
0.354519936746276,4.00918404030415,Watching,Low,Medium,Visual,Good,Moderate,92.754184847031
4.30599390446129,4.0276637561385,Listening + Watching,Medium,High,Visual,Poor,High,40.3496338505969
3.56848526027914,2.83676037077872,Doing,Low,Low,Visual,Poor,High,32.3726441509706
0.455203383624927,4.36078375431051,Listening,High,Low,Visual,Average,High,95.0898637773379
2.02266060323262,2.26120142013686,Listening + Watching,High,Low,Auditory,Average,Moderate,48.4933333620082
6.36703461316991,4.49911946653159,Doing,Medium,Low,Auditory,Average,Moderate,37.3546131583146
1.75297704560211,1.58102224877995,Watching,High,Medium,Visual,Good,Low,37.4328206738939
1.09977461742944,1.76097383145757,Listening + Watching,Low,Low,Textual,Average,High,51.4833723056484
3.47722404591519,0.739042808895505,Watching,Low,Medium,Auditory,Poor,High,0
6.90098813336314,4.08011826444027,Doing,High,High,Textual,Poor,Moderate,35.6927538619703
1.77018137342935,2.37674856304718,Doing,Medium,High,Textual,Good,High,60.4087898027996
4.73773527710056,1.5310247626013,Listening,Medium,Medium,Auditory,Good,Low,0
5.35517534576815,1.54305624927461,Listening,High,High,Textual,Poor,High,6.4602055220916
1.73969905354756,4.55629973553155,Listening + Watching,Low,High,Auditory,Good,High,70.6020266334812
5.12469280542183,4.25262470207467,Listening,High,Low,Auditory,Poor,High,20.4847790744435
2.63770361576285,2.99088898410733,Watching,High,High,Textual,Average,Low,51.6850676655248
4.4629102310957,3.27249860187075,Watching,Medium,High,Textual,Poor,Low,27.946324637351
4.47135500425017,2.63446506747631,Listening,Low,Medium,Visual,Good,High,20.4034876672996
3.79684532011583,2.26249944295464,Listening,Medium,Low,Auditory,Average,Low,13.3877900188002
0.722999413375417,4.61964596548249,Listening,Medium,High,Textual,Poor,Moderate,80.7470048569585
5.86358721956574,1.06525716584136,Listening + Watching,Low,High,Auditory,Good,High,0
2.31338244830498,2.38301055372303,Listening + Watching,Low,Medium,Visual,Good,Low,51.4635722256533
1.38697772175899,2.05052858594544,Watching,Low,High,Visual,Average,Low,44.6277621966334
0.381348476727871,2.74167824113017,Listening + Watching,High,Low,Visual,Poor,Low,100
4.17716130799887,2.55934343545329,Listening + Watching,Low,Low,Visual,Poor,Moderate,21.1176020223599
4.77519409671175,2.83500289242987,Doing,High,Low,Visual,Good,Low,21.4167318099303
0.214456019602207,1.12963539752147,Watching,Medium,Medium,Visual,Average,Moderate,84.4318421934513
3.63344210226504,2.80913675680975,Watching,Low,Low,Visual,Poor,Moderate,26.0115766152409
1.66282084886577,1.59088466249245,Listening,High,Low,Visual,Average,Low,36.6480032267437
4.5516922538252,1.32949107044686,Doing,High,Low,Auditory,Good,Moderate,7.87359124486484
1.30312836013444,0.791753984537861,Listening,High,Low,Textual,Poor,Low,18.7169547216231
4.86747039290702,3.93193651440263,Listening + Watching,High,Low,Auditory,Good,Low,31.7063598500268
2.76847388947371,2.42348864385452,Watching,Medium,Low,Auditory,Poor,Low,38.2129400153531
6.56343692228347,3.31989657490291,Listening + Watching,Low,Medium,Textual,Good,High,22.9115158389769
1.04889451460735,3.77417004487135,Listening + Watching,Low,Low,Textual,Poor,Moderate,83.4747948882164
2.45335782224678,3.55692499391099,Doing,Low,High,Visual,Average,Moderate,64.4383249573133
0.882967296560065,2.61725323590357,Doing,Low,Medium,Textual,Poor,Low,81.6807925365154
6.48038596612208,2.24554338028278,Watching,Low,High,Auditory,Poor,Moderate,8.47452017000504
6.15364153832877,2.19181959338299,Watching,Low,High,Visual,Good,Low,7.43550321872256
1.87979723123457,3.38021958618525,Doing,High,Low,Auditory,Poor,Moderate,62.7619031490313
4.65388991763584,2.72657459723843,Doing,Low,High,Textual,Poor,Moderate,23.5731900382863
5.73883318138839,4.3210951159483,Doing,High,High,Auditory,Poor,Low,36.2337099862257
3.93088560003629,4.43615892947021,Doing,Medium,High,Auditory,Good,Low,55.3155296202014
3.75458899065645,1.26752170102933,Watching,High,Low,Visual,Poor,Low,10.0225830352349
1.76878080721312,1.11305143195577,Watching,Medium,Low,Visual,Average,Moderate,25.2334491795455
0.742409097860705,3.336804167162,Listening + Watching,Low,Low,Auditory,Average,High,81.0214356517569
6.29078872987796,1.85551586628026,Listening + Watching,Medium,Medium,Textual,Good,High,12.483955438613
6.31288459442698,0.583568234442945,Listening + Watching,Medium,Low,Visual,Poor,Moderate,4.50596680208727
4.46840005518555,4.4988920121333,Watching,High,Low,Auditory,Good,Moderate,39.9168102688001
2.43930555823604,1.52105345259714,Listening,High,High,Visual,Poor,Low,23.8752664580904
2.50954606482736,4.68176293258614,Listening + Watching,Medium,Low,Visual,Good,Low,59.2258415705203
5.10909418420465,3.72845502895214,Listening,Medium,High,Textual,Poor,Low,27.1901452156997
6.29006079367278,3.93194070460168,Listening,Low,Low,Auditory,Poor,Moderate,22.376326604091
6.22089632742931,1.40657673106922,Listening,High,Low,Auditory,Good,Low,7.19332708413149
5.4811412664176,1.55387491527566,Doing,Medium,Low,Auditory,Good,Low,9.35373801360292
4.53001835846459,2.8457048922083,Watching,High,Low,Auditory,Good,Moderate,22.0482043097642
0.680565758465837,1.27444933692438,Watching,Low,Low,Auditory,Poor,High,61.4748952648335
1.21523812725284,1.87444261707364,Listening + Watching,Low,Low,Visual,Good,Low,56.2084396604709
6.30002390083685,1.94658115076512,Listening + Watching,Medium,Low,Visual,Poor,High,7.75505574036004
4.28436051165117,1.21833469963744,Watching,Low,High,Visual,Average,Low,2.10189769067002
0.163459656154745,1.42332275027822,Doing,Medium,Medium,Visual,Average,Low,97.5119320405281
0.800153645775622,4.04848328903715,Watching,High,Medium,Textual,Poor,Low,92.8017287768528
4.67816220684559,1.25238134546271,Listening,High,Low,Textual,Poor,Moderate,2.9259529831096
0.134924928538909,0.628058263297651,Watching,Medium,Medium,Auditory,Good,Moderate,85.1056627237326
1.20957555478074,3.33209724183022,Doing,Medium,High,Textual,Poor,Low,78.7161014296043
3.88626314662944,4.89192403726602,Watching,Medium,High,Visual,Poor,Low,45.6464980171713
4.87407686407958,1.99046216580405,Watching,High,High,Visual,Average,Moderate,10.5194560015037
4.59853269056794,1.03395066438314,Watching,High,Medium,Visual,Good,Moderate,7.01746602185797
1.64745823527786,3.06674296415389,Listening,Low,Medium,Visual,Good,High,59.1708116191814
5.014036627298,4.57859394993041,Listening + Watching,Low,Medium,Visual,Poor,Moderate,39.1458084447799
1.73701870372792,4.02827800922815,Doing,High,Low,Auditory,Good,Low,72.7986214903826
2.34525791729895,3.30132140785722,Listening,High,High,Auditory,Average,Moderate,45.1773692798449
5.25079069531437,1.9177542347342,Watching,Medium,High,Visual,Average,High,13.6704812894689
4.58246700342578,2.93846077974299,Watching,High,Low,Auditory,Average,High,20.7898839674493
5.95964153240983,0.910601785869149,Listening + Watching,High,Medium,Textual,Poor,Low,13.9908150728226
4.63752895687237,3.55525440926301,Listening + Watching,Low,High,Textual,Poor,Moderate,34.8566381669923
4.02132936301475,3.76293208503943,Listening + Watching,Low,Medium,Visual,Average,High,47.8759590031812
0.746355898013838,4.84264230309463,Listening,Medium,Low,Auditory,Average,High,85.7170627667924
2.63723904111009,1.67178811435282,Doing,Low,Medium,Visual,Good,High,25.9832630060671
1.92989633700391,0.583053885693602,Listening + Watching,Medium,Low,Auditory,Good,Low,15.3678311299363
1.78352853931568,2.95523808992218,Watching,High,Medium,Visual,Good,High,53.8835604534159
6.81377282779187,3.68055726978567,Doing,High,Low,Visual,Good,Moderate,31.1311559786667
2.81237430020065,4.05683364147345,Watching,Medium,High,Visual,Average,Low,54.888743795078
6.25512123072208,1.37182519861165,Watching,Low,Low,Textual,Good,Moderate,10.3688248329232
4.45485651938111,1.67788791066661,Doing,Low,Medium,Auditory,Average,Moderate,11.1472562488335
5.58419799443737,2.80665916370283,Listening,High,High,Auditory,Average,High,19.4572300524553
3.56819594242583,1.98770364486501,Doing,Low,Medium,Textual,Poor,Low,21.8967705029464
4.08063680392188,4.3723016896435,Listening + Watching,Medium,Medium,Textual,Good,Low,33.8435492404955
3.49837208735016,2.63192069182424,Doing,High,Low,Auditory,Average,Moderate,39.9482439168384
1.44717661580651,4.09810389845901,Listening + Watching,Low,Low,Auditory,Poor,Low,76.716350712444
5.08491959530439,3.11278892217059,Listening + Watching,High,Medium,Visual,Poor,Low,30.8354501652192
2.03732930084191,3.978905637277,Doing,High,Low,Visual,Average,Low,69.3876915413974
0.267780168377032,1.99702843938646,Doing,Low,Medium,Auditory,Average,Low,96.5585717975416
4.55375884175946,4.2413747986864,Listening + Watching,Medium,Low,Auditory,Good,High,48.1643444800408
1.32206368790864,1.7355754199796,Watching,Low,Low,Visual,Good,Moderate,49.2766332996947
6.58916423203511,2.95744463601481,Doing,Low,Medium,Textual,Average,Moderate,17.3969507167376
6.68210718131785,1.46303200928243,Listening,Low,High,Auditory,Average,Low,1.5967200508377
6.4125642925211,2.63986934731787,Listening + Watching,Low,Low,Auditory,Poor,Low,16.0996104426846
2.65409503176257,1.93178844278916,Watching,Low,Medium,Textual,Poor,Moderate,13.08837894464
0.206650654049185,1.70016543786746,Doing,Low,High,Textual,Poor,Moderate,100
6.50539808185531,4.85143258112617,Doing,Medium,Low,Textual,Poor,High,41.9549293549177
3.05447062338947,1.22033347469029,Watching,High,Low,Auditory,Poor,Low,9.93912870326669
6.76991825140132,4.04296626855828,Listening,Medium,Medium,Auditory,Good,Moderate,17.6365307401979
6.74897784191585,4.92874231767447,Listening + Watching,Low,Low,Auditory,Poor,High,33.8670642143207
5.98576524272478,0.58955667683035,Doing,Medium,Medium,Visual,Average,High,17.7216328820396
2.13169735528014,3.64562336318943,Listening,High,Medium,Textual,Good,Low,59.0717265725479
2.75717432735328,1.63810312500329,Listening + Watching,Medium,Low,Textual,Poor,High,26.1506384703938
5.97284303346631,0.68219520947737,Listening,Low,High,Visual,Poor,High,0
2.28676183557832,2.31300310530484,Listening + Watching,High,Low,Visual,Poor,High,38.3602017816804
1.26949995213404,4.70848014576894,Listening + Watching,Low,High,Visual,Average,High,82.9840088195595
3.94192871096262,0.55294292465149,Listening,Low,Low,Visual,Poor,High,1.28803605661313
6.55946794170939,3.14548561368402,Listening + Watching,High,High,Textual,Average,Low,9.26575908839214
4.90260559705731,2.75628415367896,Doing,High,Low,Visual,Average,Low,22.2518154987247
4.03342207361662,4.43022873966971,Doing,Low,High,Visual,Poor,Low,55.0293428608126
0.770517807018303,0.878007715342815,Listening,Medium,High,Textual,Poor,Low,41.2886413808423
4.34354986422427,3.56686713448993,Listening,High,Low,Textual,Good,Moderate,18.310411083175
6.93137156571942,3.56049364294975,Listening + Watching,Medium,Low,Textual,Good,Low,28.7796760971637
1.06657970513202,3.51086007588027,Listening + Watching,Medium,Medium,Textual,Good,Low,75.843711661402
3.67647460130978,4.74050522720767,Listening,High,High,Auditory,Average,Low,44.6939452082027
6.15387419630289,4.20389388053096,Watching,Medium,Low,Auditory,Poor,High,30.4456362326434
5.21130346250401,0.688877268095777,Listening,High,Medium,Auditory,Good,High,0
4.90940861286735,2.61987282817031,Watching,High,Low,Auditory,Average,High,7.50240270097635
4.94714017951105,2.290788752906,Watching,High,High,Textual,Good,Low,14.6251914542855
2.58048894341631,1.89566249490861,Listening,High,Low,Auditory,Good,Moderate,30.6179774788576
2.125783725425,2.53101526319344,Listening,Medium,Low,Visual,Poor,Moderate,41.8300895102669
5.68459197280174,2.2288738321669,Listening,Medium,Medium,Visual,Poor,Low,8.19057223730772
5.68978242328635,2.44550254945399,Watching,High,Low,Visual,Average,Moderate,5.86342619508486
6.08279899820272,4.90667839523889,Doing,High,Medium,Auditory,Poor,Moderate,32.9698469398675
6.40135981263965,0.898848386373113,Doing,High,High,Auditory,Good,Low,7.47234999424501
3.62826255214047,4.65003891427428,Listening,High,High,Visual,Average,High,50.0715167301728
3.56046243334168,2.66106521061962,Listening,Low,Low,Auditory,Average,Moderate,27.7262842863454
5.60823673487075,3.30684010474794,Listening + Watching,Medium,Medium,Textual,Average,High,29.9427287690984
4.58475112236658,4.23582334977962,Listening + Watching,Medium,High,Auditory,Average,Low,48.6470346134973
4.94357145307815,2.12208363117165,Listening + Watching,High,Low,Visual,Poor,High,20.6664867520921
5.5909694191091,2.43689858639585,Listening,Low,Low,Visual,Good,Moderate,3.13340687976574
6.24103685854121,2.34283316125421,Doing,Low,Low,Auditory,Poor,High,14.5488135694519
2.4321665822756,2.18628960141092,Doing,Low,Low,Auditory,Poor,High,46.2597994589404
2.69152237321561,4.66488194741103,Listening,High,Low,Visual,Average,High,56.5617121923052
0.748475384901996,4.23018451036855,Listening,Low,Medium,Visual,Poor,Low,76.6865675717475
4.0901329728736,0.990499954383392,Watching,High,Low,Auditory,Poor,Low,0.849419528798506
0.34800168919752,0.986555086146932,Watching,Low,Low,Auditory,Good,Low,60.9134275261505
3.31262632511398,2.42541281683846,Doing,High,Low,Visual,Average,Low,33.1301934965347
3.84424797948228,0.943958195297641,Listening + Watching,High,Low,Visual,Poor,High,4.77890775172321
2.07713463968516,3.28591892872004,Doing,Medium,Low,Visual,Average,Moderate,60.3425206898725
4.17674949792617,1.1466122326778,Watching,High,Low,Visual,Good,High,10.5255656627762
0.310451724579441,2.85067968785061,Doing,Low,Low,Visual,Poor,High,92.0246029744649
0.357702502369579,0.53248976151673,Watching,Medium,High,Visual,Good,High,49.4900676219439
5.77594386855164,1.92468356785691,Watching,Low,High,Visual,Good,Moderate,1.26499993129273
2.58531542573771,3.54735825652695,Listening + Watching,High,Low,Auditory,Average,Moderate,60.1054332899259
0.976717537298005,2.67817523102532,Listening + Watching,Medium,Medium,Textual,Average,Moderate,81.597016488153
3.70347849437815,4.90221268699545,Watching,High,Low,Textual,Average,High,50.7793153520145
5.41295551638042,4.43346708229795,Listening,High,Medium,Auditory,Poor,Low,32.0370040877773
1.58916508972822,2.11581850569418,Listening + Watching,Low,Medium,Textual,Average,Low,47.6836164562828
4.3979442831511,0.704689436625236,Watching,Low,Medium,Auditory,Poor,High,3.19074181527758
0.688897508456999,4.30531835051758,Listening,Low,Medium,Auditory,Good,Low,80.6039050355275
0.456603876063393,4.60055439641602,Listening,Medium,Medium,Auditory,Average,Low,91.7576224273
3.76634695782022,4.19282327038567,Doing,Low,High,Auditory,Good,High,48.0100419824339
3.83038233910974,1.07577473413894,Doing,High,Low,Textual,Average,High,8.87139819460411
4.49826632033763,4.9906181048553,Listening + Watching,Medium,High,Auditory,Good,Low,47.2438500711418
