Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Ethical Hacking,8,8,114,Practical,7,7.6,10.0,10.0,9.2,28,6.2
Blockchain Technology,7,9,100,Video,6,8.5,10.0,10.0,9.3,21,0.0
Cloud Computing,7,9,107,Video,5,8.4,10.0,10.0,9.1,26,4.4
Software Engineering,7,9,98,Video,5,7.7,10.0,10.0,8.9,16,18.8
Operating Systems,7,8,113,Practical,3,7.8,10.0,10.0,9.0,9,8.6
Distributed Systems,9,8,123,Audio,6,7.6,10.0,10.0,8.8,25,10.8
Computer Networks,7,8,95,Video,5,7.9,10.0,10.0,8.6,9,12.5
Database Management Systems (DBMS),7,9,94,Video,9,6.3,10.0,9.9,9.0,28,19.5
Mechanical Engineering,8,8,112,Video,7,7.7,10.0,9.9,9.0,20,18.1
Electrical Engineering,8,8,108,Video,6,8.6,10.0,10.0,8.7,14,24.1
Civil Engineering,7,8,103,Audio,10,6.6,10.0,9.4,8.1,29,18.2
Aerospace Engineering,9,7,122,Practical,6,7.8,10.0,10.0,8.8,10,13.5
Robotics,9,9,119,Video,10,6.0,10.0,10.0,9.3,26,0.0
Mechatronics,8,8,105,Video,10,7.2,10.0,9.6,8.5,17,22.4
Signal Processing,8,8,102,Audio,4,8.3,7.3,8.5,7.5,17,19.2
Quadratic Equations,5,9,77,Text,7,7.1,10.0,9.9,8.6,17,15.1
Polynomials,6,8,94,Video,5,8.0,10.0,10.0,9.2,8,2.5
Factorization,5,8,81,Text,5,8.2,10.0,9.4,8.9,23,8.1
Binomial Theorem,7,7,93,Video,8,7.2,10.0,9.8,8.6,15,9.8
Matrices & Determinants,8,9,110,Text,7,8.0,10.0,10.0,9.8,8,0.0
Limits & Continuity,7,8,101,Audio,6,7.9,10.0,9.5,8.7,30,10.3
Differentiation,8,9,105,Practical,8,7.0,10.0,10.0,9.3,21,4.3
Integration,8,9,110,Video,7,7.6,10.0,10.0,9.3,22,11.2
Partial Derivatives,9,8,120,Practical,6,7.9,10.0,10.0,9.2,10,2.5
Laplace Transforms,9,7,114,Video,9,6.2,10.0,10.0,8.6,14,15.1
Euclidean Postulates,4,8,71,Video,8,7.7,10.0,10.0,8.8,15,18.1
Coordinate Geometry,6,9,92,Practical,8,6.9,10.0,9.7,8.8,11,9.4
Conic Sections,7,8,105,Video,6,7.6,10.0,9.6,8.3,22,13.4
Trigonometric Identities,6,8,95,Video,5,8.4,10.0,10.0,9.3,19,5.8
"Sine, Cosine, Tangent Functions",5,9,73,Video,5,8.4,10.0,10.0,9.4,13,11.9
Euler’s Formula,8,7,105,Video,10,6.1,10.0,10.0,8.7,26,14.0
Prime Numbers,5,8,82,Video,8,7.5,10.0,10.0,8.8,23,9.3
Modular Arithmetic,7,7,102,Practical,5,7.7,10.0,9.0,8.1,9,21.4
Fermat’s Theorem,8,6,112,Practical,7,8.3,10.0,9.9,9.2,11,2.5
Boolean Algebra,6,9,109,Audio,6,7.3,10.0,9.6,8.2,25,21.4
Pigeonhole Principle,6,7,92,Practical,7,7.5,10.0,9.0,8.5,18,17.0
"Mean, Median, Mode",5,10,85,Practical,8,6.7,10.0,9.4,8.6,13,12.5
Standard Deviation,6,9,94,Audio,9,7.9,10.0,10.0,8.9,15,6.8
Bayesian Inference,9,10,123,Audio,7,6.8,10.0,10.0,8.5,12,10.6
Newton’s Laws of Motion,5,10,78,Practical,7,7.7,10.0,10.0,8.9,23,13.7
Conservation of Energy,6,9,93,Video,4,7.9,10.0,10.0,8.9,22,17.1
"Work, Power, and Energy",6,8,86,Practical,4,8.1,10.0,10.0,9.2,29,4.8
Projectile Motion,7,9,98,Audio,9,7.0,10.0,9.8,8.6,9,16.3
First & Second Laws,7,8,97,Practical,5,8.6,10.0,10.0,9.0,27,0.0
Carnot Cycle,8,7,110,Video,5,8.8,10.0,9.3,8.8,10,9.1
Entropy,9,8,131,Audio,8,6.3,10.0,10.0,8.8,16,11.8
Wave-Particle Duality,9,7,110,Audio,9,6.9,8.7,8.5,7.2,11,23.5
Schrödinger Equation,10,6,133,Practical,5,8.7,10.0,10.0,8.8,27,7.3
Heisenberg Uncertainty Principle,10,7,121,Practical,1,8.4,10.0,9.9,8.9,28,7.7
Coulomb’s Law,6,9,87,Video,5,8.2,10.0,10.0,9.3,16,8.5
Maxwell’s Equations,9,8,125,Video,10,6.5,10.0,10.0,9.7,18,2.1
Reflection & Refraction,6,9,90,Practical,8,7.3,10.0,10.0,9.0,16,0.0
Snell’s Law,6,8,84,Video,9,6.4,10.0,9.7,8.4,19,5.4
Time Dilation,10,6,126,Practical,5,7.3,10.0,10.0,8.7,17,10.0
Organic Chemistry,8,6,113,Video,3,7.6,10.0,9.7,8.5,28,17.3
Organic Chemistry,8,7,106,Video,8,7.6,10.0,10.0,9.0,22,0.0
Organic Chemistry,8,8,111,Video,8,7.7,10.0,10.0,8.7,14,10.5
Inorganic Chemistry,8,6,110,Video,7,7.6,10.0,9.7,8.4,14,13.4
Inorganic Chemistry,8,8,106,Practical,9,6.5,10.0,10.0,9.1,14,15.9
Physical Chemistry,8,7,120,Video,8,6.3,10.0,9.8,8.6,19,12.1
Biochemistry,8,8,113,Video,8,7.4,10.0,10.0,9.2,8,9.9
Genetics,8,7,99,Practical,8,6.5,10.0,8.6,7.4,18,26.7
Genetics,8,8,110,Video,9,6.4,10.0,10.0,9.4,16,0.0
Molecular Biology,8,8,106,Video,9,6.5,10.0,9.3,8.7,18,16.8
Neuroscience,8,9,114,Practical,10,6.4,10.0,10.0,8.7,17,14.1
Programming,8,7,106,Practical,10,6.1,10.0,9.6,8.3,21,19.5
Programming,8,8,109,Audio,6,7.7,9.6,8.9,7.7,22,42.6
DSA,8,7,112,Practical,8,6.8,10.0,9.4,8.4,23,5.6
DSA,8,8,114,Practical,7,7.8,10.0,10.0,9.7,8,11.6
Machine Learning,8,8,103,Video,6,8.2,10.0,10.0,9.0,24,8.6
Machine Learning,8,9,108,Audio,7,7.5,10.0,9.5,8.4,18,17.4
AI,8,9,107,Practical,9,7.0,10.0,8.7,7.9,25,20.8
Mechanical,8,8,106,Practical,8,8.2,10.0,9.9,9.1,29,6.9
Electrical,8,8,118,Video,8,6.5,10.0,8.9,7.5,24,22.2
Civil,8,7,112,Practical,7,6.8,10.0,10.0,9.0,23,11.6
Algebra,8,7,103,Practical,7,7.7,10.0,9.6,8.5,12,7.4
Algebra,8,8,114,Text,9,7.8,10.0,9.4,8.2,21,21.8
Algebra,8,7,120,Video,4,8.2,10.0,10.0,9.3,9,4.9
Algebra,8,8,115,Text,8,8.0,10.0,10.0,8.9,12,5.3
Algebra,8,8,102,Practical,8,7.1,10.0,9.4,8.0,9,17.7
Calculus,8,8,107,Audio,9,6.5,10.0,10.0,8.5,7,21.3
Calculus,8,9,116,Video,5,7.5,10.0,10.0,9.0,19,7.3
Calculus,8,9,106,Practical,10,6.8,10.0,10.0,9.1,27,10.8
Geometry,8,9,112,Practical,8,6.6,10.0,10.0,8.9,20,7.3
Trigonometry,8,7,113,Video,8,7.1,10.0,9.5,8.4,19,19.8
Number Theory,8,8,105,Practical,7,8.2,10.0,9.8,8.4,10,19.4
Number Theory,8,8,109,Text,9,6.6,10.0,9.5,8.8,13,21.2
Discrete Math,8,7,93,Practical,7,8.1,10.0,9.8,8.9,28,10.1
Discrete Math,8,8,104,Audio,10,5.9,10.0,10.0,9.3,16,10.3
Statistics,8,8,108,Video,5,7.7,10.0,9.8,9.1,13,9.5
Statistics,8,9,103,Practical,8,6.4,10.0,9.3,8.2,27,24.5
Mechanics,8,9,118,Audio,9,6.8,10.0,9.6,8.4,21,12.4
Mechanics,8,10,102,Video,8,7.5,10.0,9.8,9.0,21,13.7
Thermodynamics,8,9,107,Practical,7,7.4,10.0,10.0,8.8,10,11.0
Thermodynamics,8,9,110,Practical,7,8.0,10.0,9.9,8.6,29,13.7
Quantum Mechanics,8,10,117,Practical,9,6.4,10.0,10.0,8.4,29,16.5
Quantum Mechanics,8,10,102,Practical,5,8.1,10.0,10.0,9.0,12,11.3
Electromagnetism,8,8,115,Video,9,6.5,10.0,10.0,9.2,30,7.4
Optics,8,7,110,Video,6,7.9,10.0,10.0,9.3,26,8.1
Relativity,8,10,105,Video,9,7.1,10.0,10.0,9.3,11,14.9
Relativity,8,10,112,Audio,9,7.1,9.4,9.6,8.2,26,22.9
Organic Chemistry,8,8,110,Practical,6,7.2,10.0,10.0,9.5,18,9.3
Organic Chemistry,8,8,106,Video,7,7.0,10.0,10.0,8.6,7,11.7
Organic Chemistry,8,9,110,Video,4,7.9,10.0,10.0,9.3,14,2.6
Inorganic Chemistry,8,9,108,Video,9,6.7,10.0,9.6,8.8,7,16.8
Inorganic Chemistry,8,9,110,Practical,10,6.5,10.0,10.0,9.0,11,14.4
Physical Chemistry,8,10,113,Audio,5,8.4,10.0,10.0,9.2,28,15.4
Biochemistry,8,9,117,Video,7,7.0,10.0,9.3,8.0,12,17.0
Genetics,8,9,103,Video,6,6.9,10.0,10.0,8.5,27,13.9
Genetics,8,9,120,Practical,8,8.2,10.0,10.0,9.2,9,0.0
Molecular Biology,8,9,100,Audio,9,6.2,10.0,9.8,8.9,21,9.0
Neuroscience,8,10,109,Practical,10,6.9,10.0,9.9,8.9,11,16.0
Neuroscience,8,10,112,Practical,10,6.5,10.0,10.0,8.8,30,9.7
Neuroscience,8,10,111,Video,10,6.6,10.0,10.0,9.0,20,13.2
Physiology,8,9,106,Practical,8,7.1,10.0,10.0,8.6,24,13.0
Physiology,8,8,108,Practical,5,7.8,10.0,9.7,8.4,22,17.6
Programming,8,8,107,Practical,7,7.6,10.0,10.0,9.4,12,0.3
Programming,8,9,107,Audio,9,6.6,10.0,10.0,8.8,30,12.4
DSA,8,9,114,Video,6,8.3,10.0,9.8,8.3,20,2.0
DSA,8,9,111,Practical,10,6.8,10.0,10.0,9.1,30,8.1
Machine Learning,8,9,106,Video,10,6.8,10.0,9.5,8.6,14,5.8
Machine Learning,8,10,114,Practical,8,6.8,10.0,10.0,9.2,13,14.0
AI,8,9,111,Practical,7,7.3,10.0,10.0,9.2,14,11.9
AI,8,10,114,Practical,7,6.8,10.0,10.0,9.5,19,7.3
Cybersecurity,8,10,113,Video,9,6.6,10.0,9.9,9.3,12,14.6
Logic,8,10,105,Audio,8,6.6,10.0,10.0,9.0,24,5.3
Logic,8,9,107,Practical,10,7.2,10.0,9.3,7.8,8,30.7
Epistemology,8,8,113,Practical,7,7.4,10.0,10.0,9.2,14,12.7
Metaphysics,8,9,113,Audio,9,6.9,10.0,9.7,8.9,17,9.8
Psychology,8,8,109,Practical,7,7.3,10.0,10.0,8.5,7,20.7
Psychology,8,7,110,Practical,8,7.2,10.0,9.5,8.8,28,6.5
Psychology,8,8,116,Video,7,8.6,10.0,9.0,8.5,12,10.9
Economics,8,9,107,Video,9,6.6,10.0,10.0,9.2,22,5.0
Economics,8,8,112,Video,9,6.5,10.0,10.0,9.2,26,5.4
History,8,7,108,Audio,8,7.4,10.0,9.9,9.4,18,0.7
Mechanical,8,9,108,Video,9,5.5,10.0,10.0,9.0,17,16.1
Mechanical,8,9,115,Practical,6,7.7,10.0,9.7,8.4,16,14.7
Electrical,8,8,114,Audio,8,6.9,10.0,9.5,8.9,9,12.8
Electrical,8,9,114,Video,10,6.0,10.0,9.5,8.5,19,12.1
Civil,8,8,116,Video,8,7.4,10.0,9.9,8.8,9,2.9
Aerospace,8,10,110,Video,6,7.7,10.0,9.4,8.4,21,17.4
Topology,8,10,113,Practical,8,6.2,10.0,10.0,8.9,22,1.4
Topology,8,9,108,Video,9,6.5,10.0,9.8,8.7,19,12.7
Functional Analysis,8,10,111,Video,7,6.0,10.0,10.0,9.2,23,1.2
Functional Analysis,8,10,109,Practical,6,7.8,10.0,9.6,8.2,9,27.9
Chaos Theory,8,10,110,Video,8,7.2,10.0,10.0,8.6,26,18.6
Chaos Theory,8,10,112,Video,7,7.0,10.0,10.0,8.6,17,14.5
Set Theory,8,9,105,Video,8,7.4,10.0,9.8,8.5,27,21.3
Algebraic Geometry,8,10,120,Audio,5,7.4,10.0,10.0,9.5,25,0.8
Quantum Information,8,10,104,Audio,10,6.0,8.2,8.3,7.0,28,32.7
Quantum Information,8,10,103,Video,7,7.6,10.0,10.0,8.8,17,13.0
Condensed Matter,8,9,115,Video,10,6.2,10.0,9.3,8.8,22,13.3
Condensed Matter,8,10,113,Practical,8,7.1,10.0,10.0,9.1,27,15.4
Particle Physics,8,10,113,Video,8,6.8,10.0,10.0,8.9,9,14.7
Particle Physics,8,10,113,Video,8,6.9,10.0,9.4,7.9,28,22.4
Plasma Physics,8,10,109,Practical,7,7.2,10.0,10.0,8.8,12,3.7
Quantum Chemistry,8,10,105,Audio,10,6.1,9.8,10.0,9.3,20,2.2
Quantum Chemistry,8,10,110,Practical,8,7.3,10.0,9.6,8.1,30,18.4
Organic Synthesis,8,9,106,Audio,10,6.2,10.0,10.0,9.0,24,10.5
Organic Synthesis,8,10,114,Practical,6,7.7,10.0,9.6,8.7,23,7.3
Supramolecular Chemistry,8,9,109,Audio,9,6.4,9.4,9.6,8.7,10,25.1
Cognitive Neuroscience,8,9,105,Video,9,6.0,10.0,9.9,9.4,29,13.6
Cognitive Neuroscience,8,9,108,Audio,8,7.6,10.0,9.5,8.5,21,18.0
Computational Neuroscience,8,10,112,Practical,7,7.6,10.0,10.0,8.9,17,11.4
Behavioral Neuroscience,8,8,107,Video,7,8.5,10.0,9.7,8.8,9,10.9
Deep Learning,8,10,105,Video,8,6.6,10.0,10.0,8.9,9,6.2
Deep Learning,8,9,111,Audio,10,6.4,10.0,8.8,8.1,22,19.4
Reinforcement Learning,8,10,111,Practical,8,7.0,10.0,9.2,8.2,11,19.3
Computer Vision,8,10,107,Video,10,7.0,10.0,10.0,8.9,27,4.8
Theoretical CS,8,10,107,Practical,10,6.2,10.0,9.5,8.4,16,17.7
Theoretical CS,8,10,111,Video,7,6.8,10.0,10.0,9.5,25,4.2
Blockchain,8,9,102,Audio,8,7.7,10.0,9.9,9.0,10,0.5
Blockchain,8,10,102,Audio,8,6.9,9.7,9.6,8.1,25,14.7
Political Science,8,9,106,Video,8,7.5,10.0,10.0,9.1,17,6.9
Political Science,8,8,108,Video,7,7.8,10.0,9.5,8.5,8,24.4
Economics,8,10,111,Audio,7,7.4,10.0,9.9,8.9,16,13.8
Sociology,8,9,117,Practical,8,7.0,10.0,10.0,8.5,17,8.3
Genetics,8,9,114,Video,6,7.5,10.0,10.0,8.6,26,16.4
Genetics,8,10,109,Video,10,6.5,10.0,9.8,8.6,22,6.3
Neurobiology,8,9,109,Video,9,7.2,10.0,9.7,9.0,25,15.4
Neurobiology,8,10,104,Video,8,6.7,10.0,10.0,8.9,29,8.6
Immunology,8,9,109,Video,7,7.5,10.0,10.0,8.8,30,11.5
Immunology,8,10,108,Audio,9,6.2,9.6,9.5,8.7,17,19.6
Oncology,8,9,111,Audio,6,7.2,10.0,10.0,9.3,20,0.6
Oncology,8,10,105,Practical,10,6.5,10.0,9.9,8.4,8,9.0
Pharmacology,8,8,112,Practical,8,6.1,10.0,10.0,9.1,29,6.1
Virology,8,9,117,Video,9,7.8,10.0,10.0,8.5,11,20.2
Clinical Psychology,8,8,109,Video,9,6.2,10.0,9.2,7.9,11,13.4
Clinical Psychology,8,9,112,Practical,7,7.4,10.0,10.0,8.9,25,0.0
Neuroscience,8,9,113,Video,10,7.1,10.0,10.0,8.9,27,8.7
Neuroscience,8,9,107,Audio,8,6.7,10.0,9.7,9.1,18,11.8
Psychiatry,8,10,111,Audio,10,5.3,10.0,10.0,8.9,24,17.0
Sleep Science,8,9,110,Practical,8,6.9,10.0,8.9,7.5,10,22.7
Sleep Science,8,9,110,Practical,10,6.1,10.0,9.9,8.7,28,10.9
Stress Research,8,9,106,Audio,9,5.7,10.0,9.7,8.7,23,18.8
Aerospace Engineering,8,10,110,Video,10,6.6,10.0,9.3,7.8,16,12.7
Aerospace Engineering,8,9,112,Video,7,7.5,10.0,9.2,8.3,26,15.1
Robotics,8,9,117,Practical,8,7.7,10.0,10.0,9.2,12,9.0
Robotics,8,9,114,Audio,6,7.1,10.0,10.0,9.0,20,12.2
Civil Engineering,8,9,120,Audio,7,6.6,10.0,9.3,8.1,17,16.5
Electrical Engineering,8,10,106,Practical,10,6.3,10.0,9.4,8.9,17,11.2
Climate Science,8,9,114,Audio,10,6.5,10.0,9.3,8.2,24,5.6
Climate Science,8,10,110,Practical,10,7.0,10.0,10.0,8.8,29,8.7
Oceanography,8,9,120,Video,8,7.8,10.0,9.2,8.3,28,19.3
Ecology,8,10,105,Audio,7,8.0,10.0,10.0,8.7,24,8.1
Geology,8,10,105,Video,10,6.6,10.0,9.7,8.5,30,15.3
Renewable Energy,8,9,107,Practical,6,8.1,10.0,10.0,8.4,29,18.2
Legal Theory,8,9,99,Practical,9,6.5,10.0,10.0,9.2,17,6.3
Legal Theory,8,9,107,Practical,7,7.5,10.0,10.0,8.8,27,12.9
Ethics,8,8,106,Video,8,6.5,10.0,10.0,9.3,18,2.2
Metaphysics,8,9,110,Practical,10,6.5,10.0,9.8,9.3,11,6.0
Political Theory,8,9,111,Video,8,7.1,10.0,10.0,9.6,29,7.1
Finance,8,9,119,Video,10,7.4,10.0,10.0,8.8,15,12.8
Finance,8,9,114,Practical,10,6.4,10.0,9.9,8.8,15,9.1
Business,8,9,107,Audio,4,8.3,10.0,10.0,9.1,28,10.1
Business,8,9,105,Audio,6,7.8,9.6,9.3,8.8,16,15.6
Cognitive Science,8,9,112,Video,5,7.8,10.0,10.0,9.2,28,0.0
Cognitive Science,8,9,103,Audio,10,6.1,10.0,9.8,8.8,25,17.8
Cognitive Science,8,9,119,Audio,8,7.7,10.0,10.0,8.8,7,10.3
Educational Psychology,8,8,115,Video,10,6.0,10.0,9.5,8.5,13,17.1
Educational Psychology,8,8,107,Video,4,7.6,10.0,10.0,8.9,10,17.0
Neurolinguistics,8,9,101,Practical,7,7.7,10.0,9.0,8.1,7,12.1
Deep Learning,8,10,116,Practical,10,7.1,10.0,9.7,8.2,21,14.5
Deep Learning,8,10,109,Video,9,6.6,10.0,9.4,8.7,14,11.6
Computer Vision,8,10,116,Video,10,6.3,10.0,10.0,9.2,18,4.1
Reinforcement Learning,8,10,102,Video,6,7.8,10.0,10.0,9.1,28,17.7
NLP,8,9,107,Video,10,6.1,10.0,9.0,7.8,28,17.7
AI Ethics,8,9,110,Video,10,6.1,10.0,9.9,9.2,24,5.2
Quantum Mechanics,8,10,110,Practical,9,7.2,10.0,9.8,8.8,21,13.0
Astrophysics,8,10,107,Video,7,7.7,10.0,9.5,8.5,23,9.0
Space Science,8,9,113,Video,9,7.5,10.0,10.0,9.2,20,6.0
Space Science,8,9,104,Video,7,6.8,10.0,10.0,8.9,20,12.6
High Energy Physics,8,10,109,Video,5,7.7,10.0,10.0,9.3,24,5.3
Optics,8,9,110,Practical,8,7.2,10.0,9.5,8.8,26,11.5
Microbiology,8,9,112,Practical,8,6.6,10.0,10.0,9.0,24,7.4
Microbiology,8,10,113,Audio,10,6.8,10.0,9.5,9.0,22,2.4
Genetic Engineering,8,10,104,Practical,4,8.9,10.0,9.9,9.5,7,6.6
Bioinformatics,8,9,102,Video,8,6.8,10.0,10.0,8.8,29,20.8
Virology,8,10,116,Practical,6,7.7,10.0,10.0,8.7,17,13.1
Game Development,8,9,111,Practical,9,7.5,10.0,10.0,9.1,21,10.1
Game Development,8,9,106,Video,9,7.7,10.0,10.0,9.2,18,11.5
Virtual Reality,8,9,117,Audio,8,7.5,10.0,10.0,8.7,14,6.7
UX/UI,8,8,110,Video,9,7.1,10.0,10.0,9.3,28,15.5
Blockchain,8,9,115,Video,6,7.3,10.0,9.2,8.6,26,15.0
Cybersecurity,8,10,110,Practical,10,6.7,10.0,9.9,8.7,12,21.2
Nanotechnology,8,10,120,Video,7,7.7,10.0,10.0,9.0,9,6.3
3D Printing,8,10,118,Audio,5,7.9,10.0,10.0,8.7,30,22.1
Internet of Things,8,9,108,Practical,7,7.1,10.0,9.7,9.3,19,10.9
Number Theory,8,10,114,Practical,4,7.7,10.0,10.0,9.4,19,8.8
Cryptography,8,10,113,Video,9,5.9,10.0,9.9,8.9,8,12.2
Chaos Theory,8,10,116,Audio,8,6.1,10.0,10.0,8.9,11,9.8
Topology,8,10,105,Video,10,6.8,10.0,10.0,8.7,23,19.0
Climate Science,8,9,113,Audio,9,6.9,10.0,10.0,8.9,12,11.7
Ecology,8,8,115,Practical,5,7.8,10.0,10.0,9.0,8,0.2
Renewable Energy,8,10,101,Audio,7,7.2,10.0,10.0,9.1,10,3.4
Waste Management,8,9,104,Video,9,6.9,10.0,9.7,8.2,28,17.1
Agriculture,8,9,99,Video,10,6.4,10.0,9.1,8.4,17,17.5
Neuroscience,8,10,108,Video,10,5.8,10.0,9.6,8.5,14,14.7
Pharmacology,8,10,113,Practical,10,7.0,10.0,10.0,9.3,18,13.1
Genetics,8,10,117,Practical,8,7.3,10.0,10.0,8.8,14,2.2
Immunology,8,10,110,Video,9,6.9,10.0,9.1,8.4,17,16.7
Mental Health,8,9,118,Audio,10,6.9,10.0,10.0,8.8,28,2.9
AI Ethics,8,10,103,Audio,8,6.7,9.4,8.9,7.9,26,24.8
AI Hardware,8,10,101,Practical,9,7.4,10.0,9.6,8.1,14,18.5
Robotics,8,10,109,Practical,8,7.0,10.0,10.0,9.1,14,11.1
AI in Healthcare,8,10,111,Video,7,7.8,10.0,10.0,8.9,23,6.7
NLP,8,9,109,Practical,8,7.5,10.0,10.0,9.2,26,14.4
Astrobiology,8,9,99,Practical,7,6.9,10.0,9.8,8.9,26,16.2
Rocket Science,8,10,109,Audio,8,7.4,10.0,9.7,8.7,29,15.9
Space Mining,8,9,103,Practical,6,7.9,10.0,10.0,9.5,22,4.4
Cosmology,8,10,113,Video,8,7.1,10.0,10.0,9.4,20,8.9
Exoplanet Science,8,9,111,Video,9,6.8,10.0,9.9,8.7,17,9.5
Blockchain,8,10,105,Video,7,7.4,10.0,9.7,8.7,13,17.3
Cryptocurrency,8,9,107,Audio,8,7.5,10.0,10.0,9.2,22,16.2
Banking,8,9,104,Audio,8,7.4,9.5,10.0,9.2,19,13.4
Market Prediction,8,10,109,Practical,9,6.8,10.0,10.0,9.2,21,4.4
Insurance,8,9,114,Audio,8,6.4,10.0,9.8,8.8,30,13.8
Synthetic Biology,8,10,105,Practical,10,6.7,10.0,9.4,8.3,22,10.5
