subject_/topic,complexity_1-10,relevance_1-10,study_time_mins,learning_method,stress_level,sleep_hours,recall_score_1hr,recall_score_1day,recall_score_1week,days_since_learning,forgetfulness_probability_%,memory_strength,predicted_retention_%
Bayesian Inference,9,10,123,Audio,7,6.8,10.0,10.0,8.5,12,10.6,5.0,9.07
Newton’s Laws of Motion,5,10,78,Practical,7,7.7,10.0,10.0,8.9,23,13.7,5.0,1.01
Conservation of Energy,6,9,93,Video,4,7.9,10.0,10.0,8.9,22,17.1,5.0,1.23
"Work, Power, and Energy",6,8,86,Practical,4,8.1,10.0,10.0,9.2,29,4.8,5.0,0.3
Projectile Motion,7,9,98,Audio,9,7.0,10.0,9.8,8.6,9,16.3,5.0,16.53
First & Second Laws,7,8,97,Practical,5,8.6,10.0,10.0,9.0,27,0.0,5.0,0.45
Carnot Cycle,8,7,110,Video,5,8.8,10.0,9.3,8.8,10,9.1,5.0,13.53
Entropy,9,8,131,Audio,8,6.3,10.0,10.0,8.8,16,11.8,5.0,4.08
Wave-Particle Duality,9,7,110,Audio,9,6.9,8.7,8.5,7.2,11,23.5,3.5142857142857133,4.37
Schrödinger Equation,10,6,133,Practical,5,8.7,10.0,10.0,8.8,27,7.3,5.0,0.45
Heisenberg Uncertainty Principle,10,7,121,Practical,1,8.4,10.0,9.9,8.9,28,7.7,5.0,0.37
Coulomb’s Law,6,9,87,Video,5,8.2,10.0,10.0,9.3,16,8.5,5.0,4.08
Maxwell’s Equations,9,8,125,Video,10,6.5,10.0,10.0,9.7,18,2.1,5.0,2.73
Reflection & Refraction,6,9,90,Practical,8,7.3,10.0,10.0,9.0,16,0.0,5.0,4.08
Snell’s Law,6,8,84,Video,9,6.4,10.0,9.7,8.4,19,5.4,5.0,2.24
Time Dilation,10,6,126,Practical,5,7.3,10.0,10.0,8.7,17,10.0,5.0,3.34
Organic Chemistry,8,6,113,Video,3,7.6,10.0,9.7,8.5,28,17.3,5.0,0.37
Organic Chemistry,8,7,106,Video,8,7.6,10.0,10.0,9.0,22,0.0,5.0,1.23
Organic Chemistry,8,8,111,Video,8,7.7,10.0,10.0,8.7,14,10.5,5.0,6.08
Inorganic Chemistry,8,6,110,Video,7,7.6,10.0,9.7,8.4,14,13.4,5.0,6.08
Inorganic Chemistry,8,8,106,Practical,9,6.5,10.0,10.0,9.1,14,15.9,5.0,6.08
Physical Chemistry,8,7,120,Video,8,6.3,10.0,9.8,8.6,19,12.1,5.0,2.24
Biochemistry,8,8,113,Video,8,7.4,10.0,10.0,9.2,8,9.9,5.0,20.19
Genetics,8,7,99,Practical,8,6.5,10.0,8.6,7.4,18,26.7,5.0,2.73
Genetics,8,8,110,Video,9,6.4,10.0,10.0,9.4,16,0.0,5.0,4.08
Molecular Biology,8,8,106,Video,9,6.5,10.0,9.3,8.7,18,16.8,5.0,2.73
Neuroscience,8,9,114,Practical,10,6.4,10.0,10.0,8.7,17,14.1,5.0,3.34
Programming,8,7,106,Practical,10,6.1,10.0,9.6,8.3,21,19.5,5.0,1.5
Programming,8,8,109,Audio,6,7.7,9.6,8.9,7.7,22,42.6,4.542857142857143,0.79
DSA,8,7,112,Practical,8,6.8,10.0,9.4,8.4,23,5.6,5.0,1.01
DSA,8,8,114,Practical,7,7.8,10.0,10.0,9.7,8,11.6,5.0,20.19
Machine Learning,8,8,103,Video,6,8.2,10.0,10.0,9.0,24,8.6,5.0,0.82
Machine Learning,8,9,108,Audio,7,7.5,10.0,9.5,8.4,18,17.4,5.0,2.73
AI,8,9,107,Practical,9,7.0,10.0,8.7,7.9,25,20.8,5.0,0.67
Mechanical,8,8,106,Practical,8,8.2,10.0,9.9,9.1,29,6.9,5.0,0.3
Electrical,8,8,118,Video,8,6.5,10.0,8.9,7.5,24,22.2,5.0,0.82
Civil,8,7,112,Practical,7,6.8,10.0,10.0,9.0,23,11.6,5.0,1.01
Algebra,8,7,103,Practical,7,7.7,10.0,9.6,8.5,12,7.4,5.0,9.07
Algebra,8,8,114,Text,9,7.8,10.0,9.4,8.2,21,21.8,5.0,1.5
Algebra,8,7,120,Video,4,8.2,10.0,10.0,9.3,9,4.9,5.0,16.53
Algebra,8,8,115,Text,8,8.0,10.0,10.0,8.9,12,5.3,5.0,9.07
Algebra,8,8,102,Practical,8,7.1,10.0,9.4,8.0,9,17.7,5.0,16.53
Calculus,8,8,107,Audio,9,6.5,10.0,10.0,8.5,7,21.3,5.0,24.66
Calculus,8,9,116,Video,5,7.5,10.0,10.0,9.0,19,7.3,5.0,2.24
Calculus,8,9,106,Practical,10,6.8,10.0,10.0,9.1,27,10.8,5.0,0.45
Geometry,8,9,112,Practical,8,6.6,10.0,10.0,8.9,20,7.3,5.0,1.83
Trigonometry,8,7,113,Video,8,7.1,10.0,9.5,8.4,19,19.8,5.0,2.24
Number Theory,8,8,105,Practical,7,8.2,10.0,9.8,8.4,10,19.4,5.0,13.53
Number Theory,8,8,109,Text,9,6.6,10.0,9.5,8.8,13,21.2,5.0,7.43
Discrete Math,8,7,93,Practical,7,8.1,10.0,9.8,8.9,28,10.1,5.0,0.37
Discrete Math,8,8,104,Audio,10,5.9,10.0,10.0,9.3,16,10.3,5.0,4.08
Statistics,8,8,108,Video,5,7.7,10.0,9.8,9.1,13,9.5,5.0,7.43
Statistics,8,9,103,Practical,8,6.4,10.0,9.3,8.2,27,24.5,5.0,0.45
Mechanics,8,9,118,Audio,9,6.8,10.0,9.6,8.4,21,12.4,5.0,1.5
Mechanics,8,10,102,Video,8,7.5,10.0,9.8,9.0,21,13.7,5.0,1.5
Thermodynamics,8,9,107,Practical,7,7.4,10.0,10.0,8.8,10,11.0,5.0,13.53
Thermodynamics,8,9,110,Practical,7,8.0,10.0,9.9,8.6,29,13.7,5.0,0.3
Quantum Mechanics,8,10,117,Practical,9,6.4,10.0,10.0,8.4,29,16.5,5.0,0.3
Quantum Mechanics,8,10,102,Practical,5,8.1,10.0,10.0,9.0,12,11.3,5.0,9.07
Electromagnetism,8,8,115,Video,9,6.5,10.0,10.0,9.2,30,7.4,5.0,0.25
Optics,8,7,110,Video,6,7.9,10.0,10.0,9.3,26,8.1,5.0,0.55
Relativity,8,10,105,Video,9,7.1,10.0,10.0,9.3,11,14.9,5.0,11.08
Relativity,8,10,112,Audio,9,7.1,9.4,9.6,8.2,26,22.9,4.314285714285715,0.24
Organic Chemistry,8,8,110,Practical,6,7.2,10.0,10.0,9.5,18,9.3,5.0,2.73
Organic Chemistry,8,8,106,Video,7,7.0,10.0,10.0,8.6,7,11.7,5.0,24.66
Organic Chemistry,8,9,110,Video,4,7.9,10.0,10.0,9.3,14,2.6,5.0,6.08
Inorganic Chemistry,8,9,108,Video,9,6.7,10.0,9.6,8.8,7,16.8,5.0,24.66
Inorganic Chemistry,8,9,110,Practical,10,6.5,10.0,10.0,9.0,11,14.4,5.0,11.08
Physical Chemistry,8,10,113,Audio,5,8.4,10.0,10.0,9.2,28,15.4,5.0,0.37
Biochemistry,8,9,117,Video,7,7.0,10.0,9.3,8.0,12,17.0,5.0,9.07
Genetics,8,9,103,Video,6,6.9,10.0,10.0,8.5,27,13.9,5.0,0.45
Genetics,8,9,120,Practical,8,8.2,10.0,10.0,9.2,9,0.0,5.0,16.53
Molecular Biology,8,9,100,Audio,9,6.2,10.0,9.8,8.9,21,9.0,5.0,1.5
Neuroscience,8,10,109,Practical,10,6.9,10.0,9.9,8.9,11,16.0,5.0,11.08
Neuroscience,8,10,112,Practical,10,6.5,10.0,10.0,8.8,30,9.7,5.0,0.25
Neuroscience,8,10,111,Video,10,6.6,10.0,10.0,9.0,20,13.2,5.0,1.83
Physiology,8,9,106,Practical,8,7.1,10.0,10.0,8.6,24,13.0,5.0,0.82
Physiology,8,8,108,Practical,5,7.8,10.0,9.7,8.4,22,17.6,5.0,1.23
Programming,8,8,107,Practical,7,7.6,10.0,10.0,9.4,12,0.3,5.0,9.07
Programming,8,9,107,Audio,9,6.6,10.0,10.0,8.8,30,12.4,5.0,0.25
DSA,8,9,114,Video,6,8.3,10.0,9.8,8.3,20,2.0,5.0,1.83
DSA,8,9,111,Practical,10,6.8,10.0,10.0,9.1,30,8.1,5.0,0.25
Machine Learning,8,9,106,Video,10,6.8,10.0,9.5,8.6,14,5.8,5.0,6.08
Machine Learning,8,10,114,Practical,8,6.8,10.0,10.0,9.2,13,14.0,5.0,7.43
AI,8,9,111,Practical,7,7.3,10.0,10.0,9.2,14,11.9,5.0,6.08
AI,8,10,114,Practical,7,6.8,10.0,10.0,9.5,19,7.3,5.0,2.24
Cybersecurity,8,10,113,Video,9,6.6,10.0,9.9,9.3,12,14.6,5.0,9.07
Logic,8,10,105,Audio,8,6.6,10.0,10.0,9.0,24,5.3,5.0,0.82
Logic,8,9,107,Practical,10,7.2,10.0,9.3,7.8,8,30.7,5.0,20.19
Epistemology,8,8,113,Practical,7,7.4,10.0,10.0,9.2,14,12.7,5.0,6.08
Metaphysics,8,9,113,Audio,9,6.9,10.0,9.7,8.9,17,9.8,5.0,3.34
Psychology,8,8,109,Practical,7,7.3,10.0,10.0,8.5,7,20.7,5.0,24.66
Psychology,8,7,110,Practical,8,7.2,10.0,9.5,8.8,28,6.5,5.0,0.37
Psychology,8,8,116,Video,7,8.6,10.0,9.0,8.5,12,10.9,5.0,9.07
Economics,8,9,107,Video,9,6.6,10.0,10.0,9.2,22,5.0,5.0,1.23
Economics,8,8,112,Video,9,6.5,10.0,10.0,9.2,26,5.4,5.0,0.55
History,8,7,108,Audio,8,7.4,10.0,9.9,9.4,18,0.7,5.0,2.73
Mechanical,8,9,108,Video,9,5.5,10.0,10.0,9.0,17,16.1,5.0,3.34
Mechanical,8,9,115,Practical,6,7.7,10.0,9.7,8.4,16,14.7,5.0,4.08
Electrical,8,8,114,Audio,8,6.9,10.0,9.5,8.9,9,12.8,5.0,16.53
Electrical,8,9,114,Video,10,6.0,10.0,9.5,8.5,19,12.1,5.0,2.24
Civil,8,8,116,Video,8,7.4,10.0,9.9,8.8,9,2.9,5.0,16.53
Aerospace,8,10,110,Video,6,7.7,10.0,9.4,8.4,21,17.4,5.0,1.5
Topology,8,10,113,Practical,8,6.2,10.0,10.0,8.9,22,1.4,5.0,1.23
Topology,8,9,108,Video,9,6.5,10.0,9.8,8.7,19,12.7,5.0,2.24
Functional Analysis,8,10,111,Video,7,6.0,10.0,10.0,9.2,23,1.2,5.0,1.01
Functional Analysis,8,10,109,Practical,6,7.8,10.0,9.6,8.2,9,27.9,5.0,16.53
Chaos Theory,8,10,110,Video,8,7.2,10.0,10.0,8.6,26,18.6,5.0,0.55
Chaos Theory,8,10,112,Video,7,7.0,10.0,10.0,8.6,17,14.5,5.0,3.34
Set Theory,8,9,105,Video,8,7.4,10.0,9.8,8.5,27,21.3,5.0,0.45
Algebraic Geometry,8,10,120,Audio,5,7.4,10.0,10.0,9.5,25,0.8,5.0,0.67
Quantum Information,8,10,104,Audio,10,6.0,8.2,8.3,7.0,28,32.7,2.942857142857142,0.01
Quantum Information,8,10,103,Video,7,7.6,10.0,10.0,8.8,17,13.0,5.0,3.34
Condensed Matter,8,9,115,Video,10,6.2,10.0,9.3,8.8,22,13.3,5.0,1.23
Condensed Matter,8,10,113,Practical,8,7.1,10.0,10.0,9.1,27,15.4,5.0,0.45
Particle Physics,8,10,113,Video,8,6.8,10.0,10.0,8.9,9,14.7,5.0,16.53
Particle Physics,8,10,113,Video,8,6.9,10.0,9.4,7.9,28,22.4,5.0,0.37
Plasma Physics,8,10,109,Practical,7,7.2,10.0,10.0,8.8,12,3.7,5.0,9.07
Quantum Chemistry,8,10,105,Audio,10,6.1,9.8,10.0,9.3,20,2.2,4.771428571428572,1.51
Quantum Chemistry,8,10,110,Practical,8,7.3,10.0,9.6,8.1,30,18.4,5.0,0.25
Organic Synthesis,8,9,106,Audio,10,6.2,10.0,10.0,9.0,24,10.5,5.0,0.82
Organic Synthesis,8,10,114,Practical,6,7.7,10.0,9.6,8.7,23,7.3,5.0,1.01
Supramolecular Chemistry,8,9,109,Audio,9,6.4,9.4,9.6,8.7,10,25.1,4.314285714285715,9.85
Cognitive Neuroscience,8,9,105,Video,9,6.0,10.0,9.9,9.4,29,13.6,5.0,0.3
Cognitive Neuroscience,8,9,108,Audio,8,7.6,10.0,9.5,8.5,21,18.0,5.0,1.5
Computational Neuroscience,8,10,112,Practical,7,7.6,10.0,10.0,8.9,17,11.4,5.0,3.34
Behavioral Neuroscience,8,8,107,Video,7,8.5,10.0,9.7,8.8,9,10.9,5.0,16.53
Deep Learning,8,10,105,Video,8,6.6,10.0,10.0,8.9,9,6.2,5.0,16.53
Deep Learning,8,9,111,Audio,10,6.4,10.0,8.8,8.1,22,19.4,5.0,1.23
Reinforcement Learning,8,10,111,Practical,8,7.0,10.0,9.2,8.2,11,19.3,5.0,11.08
Computer Vision,8,10,107,Video,10,7.0,10.0,10.0,8.9,27,4.8,5.0,0.45
Theoretical CS,8,10,107,Practical,10,6.2,10.0,9.5,8.4,16,17.7,5.0,4.08
Theoretical CS,8,10,111,Video,7,6.8,10.0,10.0,9.5,25,4.2,5.0,0.67
Blockchain,8,9,102,Audio,8,7.7,10.0,9.9,9.0,10,0.5,5.0,13.53
Blockchain,8,10,102,Audio,8,6.9,9.7,9.6,8.1,25,14.7,4.657142857142857,0.47
Political Science,8,9,106,Video,8,7.5,10.0,10.0,9.1,17,6.9,5.0,3.34
Political Science,8,8,108,Video,7,7.8,10.0,9.5,8.5,8,24.4,5.0,20.19
Economics,8,10,111,Audio,7,7.4,10.0,9.9,8.9,16,13.8,5.0,4.08
Sociology,8,9,117,Practical,8,7.0,10.0,10.0,8.5,17,8.3,5.0,3.34
Genetics,8,9,114,Video,6,7.5,10.0,10.0,8.6,26,16.4,5.0,0.55
Genetics,8,10,109,Video,10,6.5,10.0,9.8,8.6,22,6.3,5.0,1.23
Neurobiology,8,9,109,Video,9,7.2,10.0,9.7,9.0,25,15.4,5.0,0.67
Neurobiology,8,10,104,Video,8,6.7,10.0,10.0,8.9,29,8.6,5.0,0.3
Immunology,8,9,109,Video,7,7.5,10.0,10.0,8.8,30,11.5,5.0,0.25
Immunology,8,10,108,Audio,9,6.2,9.6,9.5,8.7,17,19.6,4.542857142857143,2.37
Oncology,8,9,111,Audio,6,7.2,10.0,10.0,9.3,20,0.6,5.0,1.83
Oncology,8,10,105,Practical,10,6.5,10.0,9.9,8.4,8,9.0,5.0,20.19
Pharmacology,8,8,112,Practical,8,6.1,10.0,10.0,9.1,29,6.1,5.0,0.3
Virology,8,9,117,Video,9,7.8,10.0,10.0,8.5,11,20.2,5.0,11.08
Clinical Psychology,8,8,109,Video,9,6.2,10.0,9.2,7.9,11,13.4,5.0,11.08
Clinical Psychology,8,9,112,Practical,7,7.4,10.0,10.0,8.9,25,0.0,5.0,0.67
Neuroscience,8,9,113,Video,10,7.1,10.0,10.0,8.9,27,8.7,5.0,0.45
Neuroscience,8,9,107,Audio,8,6.7,10.0,9.7,9.1,18,11.8,5.0,2.73
Psychiatry,8,10,111,Audio,10,5.3,10.0,10.0,8.9,24,17.0,5.0,0.82
Sleep Science,8,9,110,Practical,8,6.9,10.0,8.9,7.5,10,22.7,5.0,13.53
Sleep Science,8,9,110,Practical,10,6.1,10.0,9.9,8.7,28,10.9,5.0,0.37
Stress Research,8,9,106,Audio,9,5.7,10.0,9.7,8.7,23,18.8,5.0,1.01
Aerospace Engineering,8,10,110,Video,10,6.6,10.0,9.3,7.8,16,12.7,5.0,4.08
Aerospace Engineering,8,9,112,Video,7,7.5,10.0,9.2,8.3,26,15.1,5.0,0.55
Robotics,8,9,117,Practical,8,7.7,10.0,10.0,9.2,12,9.0,5.0,9.07
Robotics,8,9,114,Audio,6,7.1,10.0,10.0,9.0,20,12.2,5.0,1.83
Civil Engineering,8,9,120,Audio,7,6.6,10.0,9.3,8.1,17,16.5,5.0,3.34
Electrical Engineering,8,10,106,Practical,10,6.3,10.0,9.4,8.9,17,11.2,5.0,3.34
Climate Science,8,9,114,Audio,10,6.5,10.0,9.3,8.2,24,5.6,5.0,0.82
Climate Science,8,10,110,Practical,10,7.0,10.0,10.0,8.8,29,8.7,5.0,0.3
Oceanography,8,9,120,Video,8,7.8,10.0,9.2,8.3,28,19.3,5.0,0.37
Ecology,8,10,105,Audio,7,8.0,10.0,10.0,8.7,24,8.1,5.0,0.82
Geology,8,10,105,Video,10,6.6,10.0,9.7,8.5,30,15.3,5.0,0.25
Renewable Energy,8,9,107,Practical,6,8.1,10.0,10.0,8.4,29,18.2,5.0,0.3
Legal Theory,8,9,99,Practical,9,6.5,10.0,10.0,9.2,17,6.3,5.0,3.34
Legal Theory,8,9,107,Practical,7,7.5,10.0,10.0,8.8,27,12.9,5.0,0.45
Ethics,8,8,106,Video,8,6.5,10.0,10.0,9.3,18,2.2,5.0,2.73
Metaphysics,8,9,110,Practical,10,6.5,10.0,9.8,9.3,11,6.0,5.0,11.08
Political Theory,8,9,111,Video,8,7.1,10.0,10.0,9.6,29,7.1,5.0,0.3
Finance,8,9,119,Video,10,7.4,10.0,10.0,8.8,15,12.8,5.0,4.98
Finance,8,9,114,Practical,10,6.4,10.0,9.9,8.8,15,9.1,5.0,4.98
Business,8,9,107,Audio,4,8.3,10.0,10.0,9.1,28,10.1,5.0,0.37
Business,8,9,105,Audio,6,7.8,9.6,9.3,8.8,16,15.6,4.542857142857143,2.95
Cognitive Science,8,9,112,Video,5,7.8,10.0,10.0,9.2,28,0.0,5.0,0.37
Cognitive Science,8,9,103,Audio,10,6.1,10.0,9.8,8.8,25,17.8,5.0,0.67
Cognitive Science,8,9,119,Audio,8,7.7,10.0,10.0,8.8,7,10.3,5.0,24.66
Educational Psychology,8,8,115,Video,10,6.0,10.0,9.5,8.5,13,17.1,5.0,7.43
